,Lat,Lng
0,32.3791774,-86.30582009999999
1,33.4081066,-86.8048764
2,31.3287251,-85.8183712
3,34.0715077,-86.5870296
4,31.3215376,-85.83397529999999
5,33.9635775,-86.0344755
6,30.674494,-88.14643079999999
7,31.2008218,-85.3674345
8,30.6611991,-88.16033709999999
9,33.3657219,-86.78593479999999
10,34.554753,-86.9730429
11,33.3790945,-86.8095288
12,30.4223528,-87.68248299999999
13,30.66709,-88.1337889
14,32.3779471,-86.17094039999999
15,34.693711,-86.5734305
16,31.0452319,-85.8918867
17,34.737675,-86.6016099
18,33.46652470000001,-86.7794077
19,30.4279341,-87.6825751
20,31.2330586,-85.45315029999999
21,33.4879998,-86.79001219999999
22,32.4824598,-86.4160746
23,32.3541754,-86.12571659999999
24,30.6436682,-87.86837799999999
25,33.4132035,-86.6763683
26,30.6890223,-88.1040038
27,30.4288235,-87.6833084
28,31.0955563,-88.2387021
29,34.4815374,-87.2762216
30,31.8452596,-86.61902189999999
31,33.3764347,-88.0163614
32,33.7570541,-88.1089185
33,33.2029132,-87.52965569999999
34,32.95148750000001,-87.1468187
35,32.4267362,-87.0532198
36,33.1653577,-86.25434860000001
37,31.9936593,-87.27951279999999
38,33.7085114,-87.8245026
39,34.2012254,-86.8050794
40,31.8669929,-88.3223745
41,32.694756,-87.5869069
42,33.26183049999999,-88.0949929
43,34.4379012,-85.7568364
44,34.161974,-85.6647186
45,34.8039154,-86.9807027
46,31.7909041,-85.97309849999999
47,33.2773548,-85.8242805
48,34.1420976,-87.9902986
49,32.5038111,-87.837458
50,34.6652565,-86.0409464
51,31.4310214,-86.9432781
52,32.835355,-86.628907
53,34.2412645,-87.5915562
54,31.556752,-87.8765674
55,34.0098937,-86.0054201
56,32.5523787,-86.1866697
57,32.8276177,-85.7540143
58,34.4819052,-87.27699679999999
59,34.6698294,-86.5767041
60,31.31751109999999,-86.46122419999999
61,32.828004,-85.1741208
62,31.45179439999999,-85.6320048
63,34.4410016,-88.14347509999999
64,34.3014712,-86.278584
65,32.6164305,-85.4671681
66,31.5196323,-87.8955895
67,33.9586577,-86.4638319
68,31.317495,-86.22794189999999
69,32.5547704,-85.92346719999999
70,31.6362253,-86.7444072
71,31.8301201,-86.620302
72,31.6933529,-86.2650941
73,31.0170446,-87.4801681
74,31.1205489,-87.069958
75,33.5565957,-86.26974
76,34.51050970000001,-87.7221295
77,32.627216,-85.4374461
78,30.5557898,-87.8939053
79,33.4814844,-86.70492809999999
80,33.6292898,-85.80762
81,33.1669104,-86.2693704
82,33.2436401,-87.5504905
83,33.7135265,-85.7853765
84,32.5171366,-85.0170117
85,32.3618309,-86.2421274
86,32.4270134,-87.0558298
87,31.4994149,-87.3224437
88,31.06064049999999,-85.82382729999999
89,34.5059871,-87.2881755
90,61.18399789999999,-149.8170943
91,58.3038137,-134.4082554
92,64.83136,-147.7281239
93,57.0597195,-135.3466724
94,61.58597779999999,-149.3788372
95,56.808915,-132.9396259
96,59.6527038,-151.5497928
97,55.3542267,-131.6875217
98,60.48809850000001,-151.0655472
99,61.1851439,-149.8966513
100,33.2757779,-111.7852212
101,32.2221076,-110.8846758
102,33.4856825,-112.0490343
103,33.4910591,-111.9242222
104,34.2026796,-110.0212411
105,34.5933329,-112.4690525
