,Lat,Lng
0,34.22168800000001,-86.16070979999999
1,34.4419753,-85.7550138
2,33.3106697,-85.4850053
3,32.6955444,-87.5869077
4,34.7207583,-86.5749901
5,32.0895908,-88.2219652
6,60.7922222,-161.7558334
7,64.5011111,-165.4063889
8,59.03972219999999,-158.4575
9,66.89516139999999,-162.5999965
10,35.7444602,-109.0764828
11,36.1361321,-111.2397206
12,31.9183669,-111.8795232
13,33.2956419,-110.4178011
14,36.1575812,-109.6076963
15,35.8022226,-110.4260281
16,33.0732768,-111.7606743
17,35.7108871,-109.5423742
18,34.749804,-92.33959689999999
19,35.4354401,-94.3388762
20,33.5758385,-92.83683599999999
21,35.0564394,-92.41927059999999
22,35.1679543,-92.7213852
23,33.3064148,-91.2903886
24,33.9316874,-116.9461472
25,34.0492967,-118.2171632
26,34.0983524,-118.2948016
27,36.5785609,-121.9134061
28,33.624397,-117.9296357
29,40.5719533,-122.3952328
30,38.7666031,-121.2480193
31,37.6982685,-122.0903131
32,38.3485829,-122.5176091
33,33.56101530000001,-117.6653937
34,33.7189951,-117.1681517
35,33.9293317,-118.1585885
36,39.3899426,-123.3389404
37,38.9356064,-122.6202387
38,34.0976168,-118.290099
39,33.560996,-117.665455
40,40.0470026,-107.8822968
41,38.9743664,-105.0740078
42,41.0544825,-73.55229779999999
43,41.6758208,-72.9314067
44,39.743866,-75.550705
45,30.5335439,-86.4955846
46,28.1612757,-81.6396039
47,25.7434206,-80.25473989999999
48,29.6602979,-82.4115723
49,25.7318139,-80.38569729999999
50,26.6392094,-81.941716
51,61.1305352,-146.3489546
52,56.8125,-132.9555556
53,60.54133539999999,-145.750531
54,34.2006795,-84.7961251
55,30.8250751,-83.9721112
56,34.5810438,-83.53708859999999
57,32.2071314,-82.377752
58,33.3356197,-83.37116720000002
59,31.8394772,-81.60097549999999
60,33.906061,-84.35429839999999
61,20.0224212,-155.6645509
62,43.5538707,-116.5705927
63,41.5278637,-88.1352431
