"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US05007","Benton County, Arkansas","265759","*****"
"0500000US05009","Boone County, Arkansas","37331","*****"
"0500000US05011","Bradley County, Arkansas","10874","*****"
"0500000US05013","Calhoun County, Arkansas","5192","*****"
"0500000US05015","Carroll County, Arkansas","27965","*****"
"0500000US05017","Chicot County, Arkansas","10615","*****"
"0500000US05019","Clark County, Arkansas","22386","*****"
"0500000US05021","Clay County, Arkansas","14889","*****"
"0500000US05023","Cleburne County, Arkansas","25100","*****"
"0500000US05025","Cleveland County, Arkansas","8128","*****"
"0500000US05027","Columbia County, Arkansas","23776","*****"
"0500000US05029","Conway County, Arkansas","20858","*****"
"0500000US05031","Craighead County, Arkansas","107345","*****"
"0500000US05033","Crawford County, Arkansas","62739","*****"
"0500000US05035","Crittenden County, Arkansas","48672","*****"
"0500000US05037","Cross County, Arkansas","16824","*****"
"0500000US05039","Dallas County, Arkansas","7279","*****"
"0500000US05041","Desha County, Arkansas","11709","*****"
"0500000US05043","Drew County, Arkansas","18417","*****"
"0500000US05045","Faulkner County, Arkansas","123624","*****"
"0500000US05047","Franklin County, Arkansas","17738","*****"
"0500000US05049","Fulton County, Arkansas","12231","*****"
"0500000US05051","Garland County, Arkansas","98555","*****"
"0500000US05053","Grant County, Arkansas","18126","*****"
"0500000US05055","Greene County, Arkansas","44937","*****"
"0500000US05057","Hempstead County, Arkansas","21842","*****"
"0500000US05059","Hot Spring County, Arkansas","33597","*****"
"0500000US05061","Howard County, Arkansas","13311","*****"
"0500000US05063","Independence County, Arkansas","37427","*****"
"0500000US05065","Izard County, Arkansas","13570","*****"
"0500000US05067","Jackson County, Arkansas","17027","*****"
"0500000US05069","Jefferson County, Arkansas","69282","*****"
"0500000US05071","Johnson County, Arkansas","26372","*****"
"0500000US05073","Lafayette County, Arkansas","6800","*****"
"0500000US05075","Lawrence County, Arkansas","16549","*****"
"0500000US05077","Lee County, Arkansas","9194","*****"
"0500000US05079","Lincoln County, Arkansas","13455","*****"
"0500000US05081","Little River County, Arkansas","12347","*****"
"0500000US05083","Logan County, Arkansas","21668","*****"
"0500000US05085","Lonoke County, Arkansas","72528","*****"
"0500000US05087","Madison County, Arkansas","16211","*****"
"0500000US05089","Marion County, Arkansas","16476","*****"
"0500000US05091","Miller County, Arkansas","43572","*****"
"0500000US05093","Mississippi County, Arkansas","42126","*****"
"0500000US05095","Monroe County, Arkansas","7050","*****"
"0500000US05097","Montgomery County, Arkansas","8950","*****"
"0500000US05099","Nevada County, Arkansas","8351","*****"
"0500000US05101","Newton County, Arkansas","7812","*****"
"0500000US05103","Ouachita County, Arkansas","23830","*****"
"0500000US05105","Perry County, Arkansas","10355","*****"
"0500000US05107","Phillips County, Arkansas","18606","*****"
"0500000US05109","Pike County, Arkansas","10756","*****"
"0500000US05111","Poinsett County, Arkansas","23896","*****"
"0500000US05113","Polk County, Arkansas","20094","*****"
"0500000US05115","Pope County, Arkansas","63761","*****"
"0500000US05117","Prairie County, Arkansas","8189","*****"
"0500000US05119","Pulaski County, Arkansas","392967","*****"
"0500000US05121","Randolph County, Arkansas","17695","*****"
"0500000US05123","St. Francis County, Arkansas","25900","*****"
"0500000US05125","Saline County, Arkansas","119415","*****"
"0500000US05127","Scott County, Arkansas","10376","*****"
"0500000US05129","Searcy County, Arkansas","7908","*****"
"0500000US05131","Sebastian County, Arkansas","127591","*****"
"0500000US05133","Sevier County, Arkansas","17081","*****"
"0500000US05135","Sharp County, Arkansas","17139","*****"
"0500000US05137","Stone County, Arkansas","12475","*****"
"0500000US05139","Union County, Arkansas","39449","*****"
"0500000US05141","Van Buren County, Arkansas","16642","*****"
"0500000US05143","Washington County, Arkansas","232289","*****"
"0500000US05145","White County, Arkansas","78762","*****"
"0500000US05147","Woodruff County, Arkansas","6533","*****"
"0500000US05149","Yell County, Arkansas","21464","*****"
