,Lat,Lng,Income
1,32.5791817,-86.49965460000001,58731.0
2,30.6010744,-87.77633329999999,58320.0
3,31.8172896,-85.35496499999999,32525.0
4,32.9562798,-87.14228949999999,47542.0
5,34.0145152,-86.49965460000001,49358.0
6,32.0573536,-85.7256372,37785.0
7,31.6760284,-86.6611083,40688.0
8,33.7701576,-85.80766,47255.0
9,32.9028048,-85.35496499999999,42289.0
10,34.1665322,-85.684578,41919.0
11,32.944392,-86.6611083,47468.0
12,32.0716631,-88.24611829999999,35892.0
13,31.7002461,-87.77633329999999,37404.0
14,33.279527,-85.84862360000001,40845.0
15,33.6261707,-85.52002399999999,44741.0
16,31.4751172,-86.0121573,55637.0
17,34.7117567,-87.89424509999999,48065.0
18,31.501571,-86.9824288,37837.0
19,32.8897772,-86.2196937,38990.0
20,31.3066438,-86.49965460000001,42189.0
21,31.6671872,-86.3376761,43163.0
22,34.2011537,-86.8220341,44918.0
23,31.4645298,-85.684578,47214.0
24,32.2332138,-87.14228949999999,33845.0
25,34.5211397,-85.684578,40440.0
26,32.5647083,-86.0121573,60891.0
27,31.1394734,-87.14228949999999,36275.0
28,34.0455341,-86.05296039999999,44637.0
29,33.6871392,-87.77633329999999,39856.0
30,34.3967457,-87.6186379,43514.0
31,31.0990456,-85.684578,41732.0
32,32.9718107,-87.9334803,24145.0
33,32.7859102,-87.6186379,34046.0
34,31.4469377,-85.1894045,50017.0
35,31.1318686,-85.31362179999999,47580.0
36,34.7090388,-86.0121573,41769.0
37,33.4914122,-86.9824288,53901.0
38,33.6923649,-88.0900762,38364.0
39,34.8840876,-87.658113,48094.0
40,34.567428,-87.30161319999999,44886.0
41,32.5888702,-85.39627689999999,51463.0
42,34.78000720000001,-86.9423801,59686.0
43,32.221464,-86.6611083,30036.0
44,32.3731182,-85.684578,33370.0
45,34.72397309999999,-86.49965460000001,65449.0
46,32.2459085,-87.77633329999999,33241.0
47,34.0441174,-87.77633329999999,35930.0
48,34.3652297,-86.3376761,45983.0
49,30.6082227,-88.24611829999999,47583.0
50,31.5119068,-87.460397,30441.0
51,32.2077447,-86.17517590000001,50124.0
52,34.4240875,-86.86218269999999,52156.0
53,32.598888,-87.30161319999999,23447.0
54,33.3339954,-88.0900762,39848.0
55,31.8395163,-86.0121573,37446.0
56,33.2681523,-85.52002399999999,43395.0
57,32.3552497,-85.1894045,42443.0
58,33.6530112,-86.3376761,58308.0
59,33.3039292,-86.6611083,77799.0
60,32.6155551,-88.24611829999999,24320.0
61,33.4231716,-86.1344697,41325.0
62,32.9201244,-85.84862360000001,45828.0
63,33.3227653,-87.460397,53326.0
64,33.8563605,-87.30161319999999,43629.0
65,31.3422346,-88.24611829999999,41370.0
66,32.0105439,-87.3413599,31014.0
67,34.1690087,-87.3413599,35788.0
68,55.53880059999999,-161.8988535,69250.0
69,52.3232697,-174.1596072,87466.0
70,61.2180556,-149.9002778,84928.0
71,61.09344600000001,-160.8640773,53553.0
72,58.7578504,-156.7792687,79808.0
73,63.82571729999999,-149.7317835,81719.0
74,59.80677919999999,-157.7242585,56898.0
75,64.9526102,-146.4744154,76992.0
76,59.1392237,-135.0,58059.0
77,58.31765049999999,-136.0390896,59803.0
78,58.3019444,-134.4197221,88390.0
79,60.0858486,-151.382264,66064.0
80,55.5103345,-131.389286,72728.0
81,57.53693430000001,-153.2659352,85839.0
82,62.1458336,-162.891919,36754.0
83,58.0458356,-156.5982286,44135.0
84,62.2599347,-150.1729153,75493.0
